iter	Passed	Remaining
0	137	137488
1	138	69028
2	139	46202
3	139	34772
4	140	27934
5	141	23362
6	141	20099
7	142	17639
8	142	15744
9	143	14225
10	144	12974
11	145	11942
12	145	11069
13	146	10312
14	147	9675
15	148	9108
16	148	8599
17	149	8138
18	149	7723
19	150	7350
20	150	7013
21	150	6706
22	151	6426
23	151	6169
24	152	5937
25	152	5723
26	153	5523
27	153	5334
28	154	5160
29	154	4996
30	155	4846
31	155	4705
32	155	4569
33	156	4443
34	156	4322
35	157	4209
36	157	4102
37	158	4001
38	158	3904
39	158	3813
40	159	3726
41	159	3643
42	160	3564
43	160	3487
44	160	3415
45	161	3345
46	161	3278
47	162	3215
48	162	3156
49	163	3098
50	163	3042
51	164	2990
52	164	2937
53	164	2888
54	165	2841
55	165	2795
56	166	2750
57	166	2707
58	167	2666
59	167	2625
60	168	2587
61	168	2549
62	168	2512
63	169	2477
64	169	2443
65	170	2409
66	170	2376
67	170	2340
68	171	2309
69	171	2279
70	171	2250
71	172	2222
72	172	2193
73	173	2166
74	173	2140
75	173	2114
76	174	2089
77	174	2065
78	175	2041
79	175	2018
80	175	1996
81	176	1974
82	176	1952
83	177	1931
84	177	1910
85	177	1891
86	178	1870
87	178	1851
88	179	1833
89	179	1814
90	179	1796
91	180	1779
92	180	1762
93	181	1745
94	181	1729
95	181	1713
96	182	1697
97	182	1681
98	183	1666
99	183	1651
100	183	1636
101	184	1620
102	184	1606
103	184	1592
104	185	1579
105	185	1565
106	185	1552
107	186	1539
108	186	1526
109	187	1514
110	187	1501
111	187	1489
112	188	1477
113	188	1465
114	189	1454
115	189	1442
116	189	1431
117	190	1420
118	190	1409
119	190	1398
120	191	1387
121	191	1377
122	191	1366
123	191	1356
124	192	1346
125	192	1337
126	193	1328
127	193	1318
128	194	1310
129	194	1301
130	194	1292
131	195	1284
132	195	1275
133	196	1267
134	196	1258
135	196	1250
136	197	1242
137	197	1233
138	197	1225
139	198	1217
140	198	1209
141	198	1202
142	199	1194
143	199	1187
144	200	1179
145	200	1172
146	200	1165
147	201	1158
148	201	1151
149	201	1144
150	202	1137
151	202	1130
152	203	1124
153	203	1117
154	203	1111
155	204	1104
156	204	1098
157	204	1092
158	205	1085
159	205	1079
160	206	1073
161	206	1067
162	206	1061
163	207	1055
164	207	1050
165	207	1045
166	208	1039
167	208	1034
168	209	1029
169	209	1023
170	210	1018
171	210	1013
172	210	1008
173	211	1002
174	211	997
175	211	992
176	212	987
177	212	982
178	213	977
179	213	972
180	213	966
181	213	961
182	214	956
183	214	952
184	215	947
185	215	942
186	215	938
187	216	933
188	216	929
189	216	924
190	217	920
191	217	915
192	218	911
193	218	907
194	218	903
195	219	899
196	219	895
197	220	891
198	220	887
199	220	883
200	221	879
201	221	875
202	222	871
203	222	867
204	222	863
205	223	860
206	223	856
207	224	853
208	224	849
209	224	845
210	225	842
211	225	838
212	225	834
213	226	831
214	226	827
215	227	824
216	227	820
217	227	817
218	228	813
219	228	810
220	228	807
221	229	803
222	229	800
223	230	797
224	230	793
225	230	790
226	231	787
227	231	784
228	231	780
229	232	777
230	232	774
231	233	771
232	233	768
233	233	765
234	234	762
235	234	759
236	234	756
237	235	753
238	235	750
239	236	747
240	236	744
241	236	741
242	237	738
243	237	736
244	237	733
245	238	730
246	238	727
247	239	725
248	239	722
249	239	719
250	240	717
251	240	714
252	241	711
253	241	709
254	241	706
255	242	704
256	242	701
257	243	698
258	243	696
259	243	693
260	244	691
261	244	688
262	244	686
263	245	683
264	245	681
265	246	678
266	246	676
267	246	673
268	247	671
269	247	669
270	247	666
271	248	664
272	248	661
273	248	659
274	249	657
275	249	655
276	250	652
277	250	650
278	250	648
279	251	646
280	251	643
281	251	641
282	252	639
283	252	637
284	253	634
285	253	632
286	253	630
287	254	628
288	254	626
289	255	624
290	255	622
291	255	620
292	256	618
293	256	616
294	256	614
295	257	612
296	257	610
297	258	608
298	258	606
299	258	604
300	259	602
301	259	600
302	260	598
303	260	596
304	260	594
305	261	592
306	261	590
307	261	588
308	262	586
309	262	584
310	262	582
311	263	580
312	263	578
313	264	576
314	264	575
315	264	573
316	265	571
317	265	569
318	265	567
319	266	565
320	266	563
321	266	562
322	267	560
323	267	558
324	268	556
325	268	555
326	268	553
327	269	551
328	269	550
329	270	548
330	270	546
331	270	544
332	271	543
333	271	541
334	272	539
335	272	538
336	272	536
337	273	535
338	273	533
339	273	531
340	274	530
341	274	528
342	275	526
343	275	525
344	275	523
345	276	522
346	276	520
347	277	518
348	277	517
349	277	515
350	278	514
351	278	512
352	278	511
353	279	509
354	279	507
355	279	506
356	280	504
357	280	503
358	281	501
359	281	500
360	281	498
361	282	497
362	282	495
363	282	494
364	283	492
365	283	491
366	283	489
367	284	488
368	284	487
369	285	485
370	285	484
371	286	482
372	286	481
373	286	480
374	287	478
375	287	477
376	287	475
377	288	474
378	288	472
379	288	471
380	289	469
381	289	468
382	290	467
383	290	465
384	290	464
385	291	463
386	291	461
387	291	460
388	292	458
389	292	457
390	292	456
391	293	454
392	293	453
393	294	452
394	294	450
395	294	449
396	295	448
397	295	446
398	295	445
399	296	444
400	296	443
401	296	441
402	297	440
403	297	439
404	298	437
405	298	436
406	298	435
407	299	434
408	299	432
409	300	431
410	300	430
411	300	429
412	301	428
413	301	427
414	302	426
415	302	424
416	302	423
417	303	422
418	303	421
419	304	419
420	304	418
421	304	417
422	305	416
423	305	415
424	305	413
425	306	412
426	306	411
427	307	410
428	307	409
429	307	407
430	308	406
431	308	405
432	308	404
433	309	403
434	309	402
435	309	400
436	310	399
437	310	398
438	311	397
439	311	396
440	311	395
441	312	394
442	312	392
443	312	391
444	313	390
445	313	389
446	314	388
447	314	387
448	315	386
449	315	385
450	316	384
451	316	383
452	316	382
453	317	381
454	317	380
455	317	379
456	318	378
457	318	377
458	318	375
459	319	374
460	319	373
461	320	372
462	320	371
463	320	370
464	321	369
465	321	368
466	321	367
467	322	366
468	322	365
469	323	364
470	323	363
471	323	362
472	324	361
473	324	360
474	324	359
475	325	358
476	325	357
477	326	356
478	326	354
479	326	353
480	327	352
481	327	351
482	327	350
483	328	350
484	328	349
485	329	348
486	329	347
487	329	346
488	330	345
489	330	344
490	331	343
491	331	342
492	331	341
493	332	340
494	332	339
495	333	338
496	333	337
497	333	336
498	334	335
499	334	334
500	335	333
501	335	332
502	335	331
503	336	330
504	336	329
505	336	328
506	337	327
507	337	326
508	338	326
509	338	325
510	338	324
511	339	323
512	339	322
513	339	321
514	340	320
515	340	319
516	340	318
517	341	317
518	341	316
519	342	315
520	342	314
521	342	313
522	343	312
523	343	312
524	344	311
525	344	310
526	344	309
527	345	308
528	345	307
529	345	306
530	346	306
531	346	305
532	347	304
533	347	303
534	347	302
535	348	301
536	348	300
537	349	299
538	349	298
539	349	297
540	350	297
541	350	296
542	350	295
543	351	294
544	351	293
545	352	292
546	352	291
547	352	291
548	353	290
549	353	289
550	353	288
551	354	287
552	354	286
553	355	285
554	355	285
555	355	284
556	356	283
557	356	282
558	357	281
559	357	280
560	357	279
561	358	279
562	358	278
563	358	277
564	359	276
565	359	275
566	359	274
567	360	274
568	360	273
569	361	272
570	361	271
571	362	270
572	362	270
573	362	269
574	363	268
575	363	267
576	364	266
577	364	266
578	364	265
579	365	264
580	365	263
581	365	262
582	366	262
583	366	261
584	367	260
585	367	259
586	367	258
587	368	257
588	368	257
589	368	256
590	369	255
591	369	254
592	370	253
593	370	253
594	370	252
595	371	251
596	371	250
597	371	250
598	372	249
599	372	248
600	373	247
601	373	246
602	373	246
603	374	245
604	374	244
605	374	243
606	375	242
607	375	242
608	376	241
609	376	240
610	376	239
611	377	239
612	377	238
613	377	237
614	378	236
615	378	236
616	379	235
617	379	234
618	379	233
619	380	233
620	380	232
621	381	231
622	381	230
623	381	230
624	382	229
625	382	228
626	382	227
627	383	226
628	383	226
629	383	225
630	384	224
631	384	223
632	385	223
633	385	222
634	385	221
635	386	221
636	386	220
637	386	219
638	387	218
639	387	218
640	388	217
641	388	216
642	388	215
643	389	215
644	389	214
645	389	213
646	390	212
647	390	212
648	391	211
649	391	210
650	391	210
651	392	209
652	392	208
653	393	207
654	393	207
655	393	206
656	394	205
657	394	205
658	394	204
659	395	203
660	395	202
661	395	202
662	396	201
663	396	200
664	397	200
665	397	199
666	397	198
667	398	197
668	398	197
669	398	196
670	399	195
671	399	195
672	400	194
673	400	193
674	400	193
675	401	192
676	401	191
