iter	Passed	Remaining
0	143	142884
1	143	71775
2	144	48057
3	145	36191
4	146	29114
5	147	24363
6	147	20963
7	148	18412
8	149	16420
9	149	14840
10	150	13541
11	151	12455
12	151	11529
13	152	10739
14	153	10057
15	153	9462
16	154	8935
17	155	8473
18	155	8054
19	156	7674
20	157	7331
21	157	7022
22	158	6741
23	159	6479
24	160	6255
25	160	6030
26	161	5814
27	161	5614
28	162	5432
29	162	5261
30	163	5101
31	163	4948
32	164	4808
33	164	4673
34	164	4546
35	165	4425
36	165	4311
37	166	4205
38	166	4104
39	167	4009
40	167	3916
41	167	3830
42	168	3747
43	168	3666
44	169	3590
45	169	3517
46	169	3446
47	170	3379
48	170	3314
49	171	3252
50	171	3192
51	171	3135
52	172	3080
53	172	3026
54	173	2975
55	173	2925
56	174	2878
57	174	2834
58	175	2791
59	175	2748
60	175	2706
61	176	2667
62	176	2628
63	177	2590
64	177	2554
65	178	2519
66	178	2486
67	178	2452
68	179	2420
69	179	2389
70	180	2359
71	180	2329
72	181	2300
73	181	2272
74	182	2245
75	182	2218
76	182	2193
77	183	2167
78	183	2142
79	184	2118
80	184	2095
81	185	2072
82	185	2047
83	185	2025
84	186	2004
85	186	1983
86	187	1963
87	187	1943
88	187	1924
89	188	1904
90	188	1885
91	189	1866
92	189	1848
93	190	1831
94	190	1813
95	190	1796
96	191	1779
97	191	1762
98	191	1746
99	192	1729
100	192	1714
101	192	1698
102	193	1683
103	193	1669
104	194	1655
105	194	1641
106	194	1627
107	195	1613
108	195	1599
109	196	1586
110	196	1573
111	196	1560
112	197	1547
113	197	1535
114	197	1523
115	198	1511
116	198	1499
117	199	1487
118	199	1476
119	199	1465
120	200	1454
121	200	1442
122	200	1432
123	201	1422
124	201	1411
125	202	1401
126	202	1390
127	202	1381
128	203	1372
129	203	1362
130	203	1353
131	204	1343
132	204	1335
133	205	1326
134	205	1317
135	206	1309
136	206	1300
137	206	1292
138	207	1284
139	207	1275
140	208	1267
141	208	1258
142	208	1250
143	209	1242
144	209	1235
145	209	1227
146	210	1219
147	210	1212
148	210	1205
149	211	1197
150	211	1190
151	212	1183
152	212	1177
153	213	1170
154	213	1163
155	213	1156
156	214	1150
157	214	1143
158	214	1137
159	215	1130
160	215	1123
161	216	1117
162	216	1111
163	216	1105
164	217	1099
165	217	1093
166	218	1087
167	218	1081
168	218	1075
169	219	1070
170	219	1064
171	220	1059
172	220	1054
173	220	1049
174	221	1044
175	221	1039
176	222	1034
177	222	1029
178	223	1024
179	223	1019
180	224	1014
181	224	1009
182	224	1004
183	225	999
184	225	994
185	226	989
186	226	984
187	226	980
188	227	975
189	227	971
190	228	966
191	228	961
192	228	957
193	229	952
194	229	948
195	230	944
196	230	940
197	231	935
198	231	931
199	231	927
200	232	923
201	232	918
202	232	914
203	233	910
204	233	906
205	234	902
206	234	898
207	234	894
208	235	890
209	235	887
210	236	883
211	236	879
212	237	875
213	237	872
214	237	868
215	238	864
216	238	861
217	239	857
218	239	854
219	239	850
220	240	847
221	240	843
222	241	840
223	241	836
224	241	833
225	242	829
226	242	826
227	243	822
228	243	819
229	243	816
230	244	813
231	244	809
232	245	806
233	245	803
234	245	800
235	246	797
236	246	793
237	246	790
238	247	787
239	247	784
240	248	781
241	248	778
242	248	775
243	249	772
244	249	769
245	250	766
246	250	763
247	250	761
248	251	758
249	251	755
250	252	752
251	252	749
252	252	746
253	253	744
254	253	741
255	254	738
256	254	735
257	254	733
258	255	730
259	255	727
260	256	725
261	256	722
262	256	719
263	257	717
264	257	714
265	258	712
266	258	709
267	258	706
268	259	704
269	259	701
270	259	699
271	260	696
272	260	694
273	261	691
274	261	689
275	261	686
276	262	684
277	262	682
278	263	679
279	263	677
280	263	675
281	264	672
282	264	670
283	264	667
284	265	665
285	265	663
286	266	661
287	266	659
288	267	657
289	267	654
290	267	652
291	268	650
292	268	648
293	269	646
294	269	644
295	269	641
296	270	639
297	270	637
298	271	635
299	271	633
300	271	631
301	272	629
302	272	627
303	273	625
304	273	623
305	273	621
306	274	619
307	274	616
308	275	615
309	275	613
310	275	610
311	276	609
312	276	607
313	277	605
314	277	603
315	277	601
316	278	599
317	278	597
318	279	595
319	279	593
320	279	591
321	280	589
322	280	588
323	281	586
324	281	584
325	282	583
326	282	581
327	283	579
328	283	578
329	283	576
330	284	574
331	284	573
332	285	571
